5*(~x&y)-(x^y)+2*(~(x|y))+4*(~(x^y))-(~y)-(x|~y)-(~x)-(~x|y)-(~(x&y))-x+1,-6*(x&~y)
-(x&~y)-(~x&y)+6*(~(x|y))-(~y)-(x|~y)-(~x)-(~x|y)-(~(x&y))+1,2*(x&y)-5*(x|y)
-(~x&y)+7*(x^y)+6*(~(x^y))-2*(~y)-(x|~y)-(~x)-(~x|y)-(~(x&y))-x-y,2*(x|y)
-3*(x^y)+(~y)+3*(~x)-2*(~x|y)-2*(~(x&y))-2*x-2*y,-6*(x|y)
7*(~(x^y))-2*(x&y)-3*(x|~y)-(~x)-(~x|y)-(~(x&y))-y+1,-4*(x^y)-(x|y)
-2*(~x&y)+4*(x^y)+3*(~(x^y))-(x|~y)-2*(~(x&y))-x,x&y
3*(~(x^y))-2*(x|~y)+3*(~x)-2*(~(x&y))+y-2*(-1),-6*(x&~y)
4*(x&~y)+2*(~(x^y))-(~y)-(x|~y)+3*(~x)-(~x|y)-(~(x&y))+1,-(x&y)
4*(~x&y)-(x|y)+2*(x|~y)-(~x)-y+1,-(x&y)
-1*(x&~y)+2*y-1*(~(x&~y))-1*(~(x&y))+2*(~(x|~y))+x-1*(~(x^y))-4*~x+5*(~(x|y))-1*(x&~y)-3*(x&y),-2*(~(x&~x))
4*(~x&y)+(~(x^y))+2*(~y)-(~x)-(~x|y)-x-y+1,-3*(x&y)
3*(x^y)+3*(~(x|y))-(~x)-(~(x&y))-x+1,-2*(x&y)
-(x&~y)-(~x&y)-(x^y)+5*(~(x^y))-(~y)-(x|~y)-(~x|y)-(~(x&y))-y+1,7*(x&y)-6*(x|y)
(x&~y)-(x^y)+6*(~(x|y))-(~(x^y))-2*(~y)-(~x)-(~(x&y))-x-y+1,(x&y)-5*(x|y)
-(~x&y)-2*(x^y)+5*(~(x|y))-(~(x^y))-2*(x|~y)-(~x|y)-(~(x&y))-x-y,-6*(x|y)
5*(~(x^y))-7*(x&y)-(~x&y)-2*(~y)-(~x)-(~(x&y))-x-y+1,-5*(x|y)
-4*(~(x|y))+4*(~(x^y))-(x|~y)+2*(~(x&y))-x-y+1,-(x&~y)
3*(~x&y)+3*(~(x|y))-(~(x^y))-(~x)+x-y+1,-2*(x&y)
2*(~x&y)+(x^y)+3*(x|~y)-2*(~(x&y))-x+1,x&y
(x&~y)+3*(~(x|y))-(~(x^y))-(~y)-(~x)-x,-(x&y)-(x|y)
5*(~x&y)-(x^y)+3*(~(x^y))-2*(~x)-(~x|y)-x-y,-2*(x&~y)
(~(x|y))-(~y)+2*(x|~y)-2*(~x)-x-y,-3*(~x&y)
(~(x|y))-2*(~(x^y))+2*(~y)-(x|~y)+(~x)+1,-4*(x&y)
(x&~y)+3*(x|y)+6*(~(x|y))-(~(x^y))-2*(x|~y)-(~x|y)-(~(x&y))+1,-2*(x&y)
2*(~(x|y))-(~(x^y))-(x&y)+(~y)-(x|~y)-(~(x&y))-x-y,3*(x^y)-5*(x|y)
-3*(x&~y)+4*(x^y)-(x|y)+5*(~(x|y))-(~(x^y))-(~y)-(~x)-(~(x&y))+1,-3*x
(x^y)-(x|y)+5*(~(x|y))-(~(x^y))-(~y)-(x|~y)-(~x|y)+1,-3*x-2*y
