-2*(~x&y)-(~y)+2*(~x)-y+2,-2*(x|y)+1
y-(c&y)-2*(~c&y)-(~(c^y)),-(~c|y)
-(x|y)+2*(x^y)+(~(x|y))-2*(~x&y)+1,-2*y
4*(x|y)-2*(x&~y)+(~(x^y))+(~x)+3,3*y+1
-2*(x&y)+(x^y)+(x|~y)-2*(~x)+1,-3*(~x|y)-1
(~(x|y))-(~y)+(x|~y)-(~x)-x-1,-(x^y)-1
-2*(x&y)+2*(x|y)-(x^y)+(~(x|y))-(~x&y),~y
-(x&~y)+(x|~y)-(~x|y)-x,-(x|y)
-2*(~x)-x+3*y-4*(x&y)-(x^y)+1,-2*(x|~y)+1
-2*(t&y)-(~t&y)+(~t)-(~(t&y)),-t-y
-(x^y)-(~(x|y))+(~x|y)-y,-(x&~y)-(~x&y)
(~x&y)+2*(~(x|y))-(~x)-x-y+1,-(x&y)-2*(x|y)
(x&~y)+(~x&y)+2*(~(x|y))-(~x)+2,-y+1
-(x&~y)-(~x&y)+3*(~y)-2*(x|~y)-(~x),-2*y
-3*(~(x|y))+3*(~y)+2*(~x|y)-(~(x&y)),x-1
(x^y)+2*(x|~y)-(~(x&y))-x+2,-(~x&y)+1
2*(x&~d)+2*(~(x^d))-(x|~d)+(~x)+2,~(x|d)+1
2*(~y)+2*(~t|y)-(~(t&y))+(t&y),2*(~(t^y))-1
-(x^y)+(~(x|y))-(~x)+x-(x&y)+1,-2*(~x&y)+1
-(~x|y)-(~(x&y))-(~(x|y)),-(x|~y)-2*(~x)
(~x)+2*(x&y)-(x|y),-2*(x&~y)-(~x&y)-1
-y+(~x&y)+(~(x^y))-(~y)-(~x)-1,-(~(x&y))-1
(x^y)+(~x)+2*(~x|y)-2*(~(x&y))-y+1,-2*(x&~y)
y-2*(x&y)+(x&~y)-2*(~x&y)-(~y)+1,-(~x|y)+1
-(x|y)+2*(x^y)+(~(x^y))-(~x),-(~x|y)-1
3*(x|~y)-2*x+(x|y)-(x^y),2*(~(x^y))+(~y)
-(x^y)-(~x|y)+2*(~(x&y))-x,-2*(x&y)-(x|y)-1
-2*(~y)+3*(x|~y)+(~x)-(~x|y)-x,-(x^y)-1
